cityPart,dispozice,first_seen,last_seen,latitude,listingID,longitude,price,velikost
oresin,3+1,2026-02-19,2026-02-19,49.27865159,266171212,16.60430048,20000,86
zabrdovice,1+kk,2026-02-19,2026-02-19,49.200294,568525644,16.623592,15500,45
reckovice,2+1,2026-02-19,2026-02-19,49.24268646,2212889420,16.58244433,25000,70
zabrdovice,1+kk,2026-02-19,2026-02-19,49.1944716,4188853068,16.61780732,13500,22
zabrdovice,2+kk,2026-02-19,2026-02-20,49.19821025,617329484,16.61676289,34000,139
komarov,2+kk,2026-02-19,2026-02-20,49.17832802,104555340,16.62468695,21000,51
null,4+1,2026-02-19,2026-02-20,49.18949947,3203363660,16.53155427,22990,102
null,1+kk,2026-02-19,2026-02-20,49.21492102,3065316172,16.62640681,14990,48
trnita,2+kk,2026-02-19,2026-02-20,49.19357999,1882944332,16.62329301,20500,56
lesna,1+1,2026-02-19,2026-02-20,49.2323509,1673294668,16.61779607,14000,37
styrice,2+kk,2026-02-19,2026-02-20,49.18115,2260366156,16.600333,16200,45
veveri,2+1,2026-02-19,2026-02-20,49.21238473,335020876,16.60160217,19900,69
komin,1+kk,2026-02-19,2026-02-20,49.21815117,2928571212,16.56324553,14900,32
turany,2+kk,2026-02-19,2026-02-20,49.14861233,1359311692,16.66551063,25000,64
styrice,2+1,2026-02-19,2026-02-20,49.1774744,3576390476,16.59194195,25000,62
stare-brno,2+kk,2026-02-19,2026-02-20,49.18703661,2563400524,16.60635368,22300,65
cernovice,2+kk,2026-02-19,2026-02-20,49.18610748,3962831692,16.63228788,21000,78
veveri,2+1,2026-02-19,2026-02-20,49.20972176,2598896460,16.60278404,19900,60
zabrdovice,2+kk,2026-02-19,2026-02-20,49.19963889,1159426892,16.62000736,19000,60
kralovo-pole,3+kk,2026-02-19,2026-02-20,49.22392056,3202900812,16.58478667,23000,68
zidenice,3+1,2026-02-19,2026-02-20,49.190728,225141580,16.658637,19500,55
trnita,1+kk,2026-02-19,2026-02-20,49.1896684,1502675788,16.6129541,15000,30
komarov,1+kk,2026-02-19,2026-02-20,49.18783555,314966860,16.61761029,13300,19
styrice,2+kk,2026-02-19,2026-02-20,49.1828454,3190776652,16.5925277,20000,53
veveri,2+1,2026-02-19,2026-02-20,49.21238473,929461068,16.60160217,19900,60
veveri,4+1,2026-02-19,2026-02-20,49.20176374,1926980428,16.60627028,34900,120
cerna-pole,1+1,2026-02-19,2026-02-20,49.21334652,1891459916,16.62642239,9500,32
husovice,2+kk,2026-02-19,2026-02-20,49.212227,3988611916,16.634899,21000,51
zabovresky,3+1,2026-02-19,2026-02-20,49.21896352,2138858316,16.57928334,24000,75
trnita,2+kk,2026-02-19,2026-02-20,49.18664725,4004451148,16.61429108,19990,43
ponava,3+1,2026-02-19,2026-02-20,49.21238473,213521228,16.60160217,26000,73
trnita,3+kk,2026-02-19,2026-02-20,49.18698798,2815632204,16.61317875,29990,82
malomerice,1+kk,2026-02-19,2026-02-20,49.22050872,1147364172,16.65886664,9000,17
bohunice,3+kk,2026-02-19,2026-02-21,49.180842,2826376012,16.568488,35000,104
horni-herspice,1+kk,2026-02-19,2026-02-21,49.1649418,1104896844,16.6204427,15900,33
sadova,2+kk,2026-02-19,2026-02-21,49.22959908,127300428,16.60536698,23500,57
trnita,2+kk,2026-02-19,2026-02-21,49.19048769,2473091916,16.61732955,17900,48
novy-liskovec,2+kk,2026-02-19,2026-02-21,49.17581211,791024460,16.55695792,16216,47
null,2+1,2026-02-19,2026-02-21,49.20445473,3403158348,16.59539472,21000,75
brno-mesto,1+kk,2026-02-19,2026-02-21,49.19461998,3240698444,16.61091224,22000,28
lisen,2+kk,2026-02-19,2026-02-21,49.20456223,1820156748,16.66892194,12900,47
reckovice,1+kk,2026-02-19,2026-02-21,49.25248706,2455987020,16.57733106,10900,30
stare-brno,2+1,2026-02-19,2026-02-21,49.19169266,585851724,16.60044323,18900,50
cerna-pole,4+kk,2026-02-19,2026-02-21,49.20777469,813630284,16.62319628,28990,98
reckovice,2+kk,2026-02-19,2026-02-21,49.2568564,1416430412,16.57055101,19990,66
bystrc,2+kk,2026-02-19,2026-02-21,49.22097501,1257792332,16.5223828,16900,58
zabovresky,1+kk,2026-02-19,2026-02-22,49.21661078,1331037004,16.57105464,9000,25
jundrov,1+1,2026-02-19,2026-02-22,49.20776828,4039508812,16.55316771,16000,35
zidenice,Pokoj,2026-02-19,2026-02-22,49.19706731,1680896844,16.63345623,8000,20
cernovice,3+kk,2026-02-19,2026-02-22,49.18621617,2488320844,16.63928252,27000,78
stary-liskovec,Pokoj,2026-02-19,2026-02-22,49.16636704,2444911436,16.5530333,7500,13
kralovo-pole,1+kk,2026-02-19,2026-02-22,49.2196,2487550796,16.59477,12500,22
novy-liskovec,3+kk,2026-02-19,2026-02-22,49.18420608,830014284,16.56273457,22000,87
husovice,2+kk,2026-02-19,2026-02-22,49.21523521,3835585356,16.63774052,22000,58
komin,2+kk,2026-02-19,2026-02-22,49.21980141,2011898700,16.53856239,40000,51
ponava,3+kk,2026-02-19,2026-02-22,49.20965472,1192190796,16.60671696,21500,86
null,1+kk,2026-02-21,2026-02-22,49.19849679,3157484364,16.62818848,12000,32
null,3+kk,2026-02-19,2026-02-22,49.19431926,313025356,16.57984354,18900,99
brno-mesto,1+kk,2026-02-19,2026-02-23,49.19678787,3569820492,16.60837885,19125,27
bystrc,3+1,2026-02-19,2026-02-23,49.215242,3223569228,16.524543,19000,75
zidenice,1+kk,2026-02-19,2026-02-23,49.20888584,2030633804,16.66185818,13000,33
lesna,1+1,2026-02-19,2026-02-23,49.2347,781714252,16.6265,11000,29
